Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,7.36532,7.391624,6.681397,7.036511,7.036511,28444500
2000-10-03,7.14173,7.273253,6.510417,6.523569,6.523569,23618300
2000-10-04,6.457807,6.951021,6.214489,6.799768,6.799768,24790200
2000-10-05,6.687973,7.08912,6.576179,6.720854,6.720854,19289300
2000-10-06,6.72743,6.799768,5.800189,6.253946,6.253946,46986800
2000-10-09,6.19476,6.615635,5.635785,6.411774,6.411774,33696400
2000-10-10,6.359165,6.543298,5.918561,6.096117,6.096117,26503800
2000-10-11,5.648937,5.916909,5.366162,5.576599,5.576599,41966800
2000-10-12,5.74758,5.984323,5.366162,5.379314,5.379314,43401900
2000-10-13,5.313552,5.892256,5.3004,5.879104,5.879104,33410300
2000-10-16,5.741004,6.451231,5.497685,6.273674,6.273674,38079600
2000-10-17,6.456155,6.497264,5.418771,5.550294,5.550294,47735700
2000-10-18,5.096538,5.958018,4.774305,5.616056,5.616056,68081900
2000-10-19,5.997475,6.339436,5.655513,6.017203,6.017203,51587700
2000-10-20,6.98225,6.997054,6.023779,6.10927,6.10927,167615300
2000-10-23,6.082965,6.444655,5.892256,6.267098,6.267098,41304300
2000-10-24,6.017203,6.023779,5.681818,5.688395,5.688395,67107700
2000-10-25,5.87581,6.036932,5.405619,5.688395,5.688395,62174200
2000-10-26,5.734427,5.846223,5.155724,5.52399,5.52399,48813400
2000-10-27,5.570023,5.819918,5.280671,5.405619,5.405619,33108100
2000-10-30,5.438499,5.510838,5.057081,5.182029,5.182029,34090800
2000-10-31,5.254366,5.52399,5.129419,5.418771,5.418771,74857300
2000-11-01,5.379314,5.997475,5.372738,5.68346,5.68346,71615400
2000-11-02,5.787037,6.102694,5.734427,6.043508,6.043508,45110700
2000-11-03,6.043508,6.201336,5.589752,5.767309,5.767309,42949500
2000-11-06,5.767309,6.010627,5.655513,5.721275,5.721275,30243600
2000-11-07,5.708123,5.997475,5.484533,5.964594,5.964594,28946300
2000-11-08,5.905408,6.096117,5.346433,5.431923,5.431923,37833500
2000-11-09,5.24779,5.326705,4.866372,5.122843,5.122843,40820600
2000-11-10,5.053788,5.339857,4.840067,4.846643,4.846643,31767100
2000-11-13,4.734848,4.787458,4.471801,4.511259,4.511259,55741900
2000-11-14,4.734848,5.0242,4.530987,5.017624,5.017624,38370400
2000-11-15,4.93871,5.1623,4.754577,4.820339,4.820339,23156400
2000-11-16,4.728272,4.99132,4.511259,4.511259,4.511259,30884100
2000-11-17,4.530987,4.62963,4.26794,4.570444,4.570444,39957600
2000-11-20,3.873369,3.912826,3.551136,3.63005,3.63005,100527600
2000-11-21,3.735269,3.787879,3.23548,3.32097,3.32097,59233600
2000-11-22,3.314394,3.708965,3.077652,3.45907,3.45907,72763500
2000-11-24,3.669508,3.919402,3.564289,3.886522,3.886522,32614800
2000-11-27,4.018045,4.090383,3.879945,4.018045,4.018045,45408200
2000-11-28,3.932555,3.990088,3.748422,3.791162,3.791162,41803300
2000-11-29,3.787879,3.945707,3.590593,3.90625,3.90625,44207800
2000-11-30,3.761574,3.827336,3.255208,3.610322,3.610322,39444400
2000-12-01,3.676084,3.952283,3.564289,3.656355,3.656355,58766000
2000-12-04,3.59717,3.59717,3.23548,3.399884,3.399884,42383000
2000-12-05,3.557713,4.169297,3.288089,4.156145,4.156145,71139300
2000-12-06,4.011469,4.156145,3.708965,3.82076,3.82076,43243200
2000-12-07,3.695812,3.824043,3.472222,3.68266,3.68266,35389000
2000-12-08,3.952283,4.202178,3.893098,4.064078,4.064078,52141700
